date,amihud,avgPrice,cpqs,highPrice,ln_voli,lowPrice,orders,r100,r100yr,retd,retm,stdy,typeID,volume
2004-02-29,2.968686221147028e-07,7000.0,0.0,7000.0,10.778286125007687,7000.0,1.0,2.2,0.0,-0.140625,-0.5555555555555556,101.52838110112914,22.0,11.0
2004-03-31,2.968686221147028e-07,7000.0,0.0,7000.0,10.933106969717286,7000.0,1.0,2.2,0.0,0.0,0.0,101.52838110112914,22.0,8.0
2004-04-30,,,,,,,,,,,0.0,,,
2004-05-31,2.968686221147028e-07,15000.0,0.0,15000.0,12.388394202324129,15000.0,1.0,2.2,0.0,1.1428571428571428,1.1428571428571428,101.52838110112914,22.0,16.0
2004-06-30,,,,,,,,,,,0.0,,,
2004-07-31,,,,,,,,,,,0.0,,,
2004-08-31,,,,,,,,,,,0.0,,,
2004-09-30,2.968686221147028e-07,6500.0,0.0,6500.0,12.075394321888057,6500.0,1.0,2.2,0.0,-0.5666666666666667,-0.5666666666666667,101.52838110112914,22.0,27.0
2004-10-31,,,,,,,,,,,0.0,,,
2004-11-30,2.968686221147028e-07,5250.0,0.0,5250.0,11.425748771397839,5250.0,2.0,2.2,0.0,0.7923076923076924,-0.1923076923076923,101.52838110112914,22.0,22.0
2004-12-31,,,,,,,,,,,0.0,,,
2005-01-31,2.899076589442445e-09,14342.52,0.0,14342.52,14.79673050464529,14342.52,1.0,0.0,0.06972275443924777,0.792815,1.7319085714285714,54.562216285636936,22.0,186.0
2005-02-28,,,,,,,,,,,0.0,,,
2005-03-31,,,,,,,,,,,0.0,,,
2005-04-30,,,,,,,,,,,0.0,,,
2005-05-31,,,,,,,,,,,0.0,,,
2005-06-30,,,,,,,,,,,0.0,,,
2005-07-31,,,,,,,,,,,0.0,,,
2005-08-31,2.899076589442445e-09,15342.52,0.0,15342.52,14.149242844347771,15342.52,1.0,0.0,0.06972275443924777,0.0697227544392478,0.0697227544392478,54.562216285636936,22.0,91.0
2005-09-30,,,,,,,,,,,0.0,,,
2005-10-31,,,,,,,,,,,0.0,,,
2005-11-30,2.899076589442445e-09,11100.02,0.0,11100.02,12.870050250590017,11100.02,1.0,0.0,0.06972275443924777,-0.27651911159314113,-0.27651911159314113,54.562216285636936,22.0,35.0
2005-12-31,,,,,,,,,,,0.0,,,
2006-01-31,7.724376139752177e-06,100.02,0.0,100.02,8.046588901489681,100.02,1.0,-0.98,152.39452109578085,-0.49549460271242757,-0.9909892054248551,297.0207420879905,22.0,100.0
2006-02-28,,,,,,,,,,,0.0,,,
2006-03-31,7.724376139752177e-06,10000.0,0.0,10000.0,9.210340371976184,10000.0,1.0,-0.98,152.39452109578085,0.0,98.98000399920016,297.0207420879905,22.0,1.0
2006-04-30,,,,,,,,,,,0.0,,,
2006-05-31,,,,,,,,,,,0.0,,,
2006-06-30,7.724376139752177e-06,15342.52,0.0,15342.52,12.773877553760071,15342.52,1.0,-0.98,152.39452109578085,0.534252,0.534252,297.0207420879905,22.0,23.0
2006-07-31,,,,,,,,,,,0.0,,,
2006-08-31,,,,,,,,,,,0.0,,,
2006-09-30,,,,,,,,,,,0.0,,,
2006-10-31,7.724376139752177e-06,2750.0,0.0,2750.0,12.14625840180241,2750.0,1.5,-0.98,152.39452109578085,4.016294585244145,-0.8207595623144046,297.0207420879905,22.0,123.5
2006-11-30,7.724376139752177e-06,7000.0,0.0,7000.0,12.506177237980513,7000.0,1.0,-0.98,152.39452109578085,0.4,1.5454545454545454,297.0207420879905,22.0,94.5
2006-12-31,7.724376139752177e-06,10.0,0.0,10.0,7.030090369911383,10.0,1.0,-0.98,152.39452109578085,-0.49944444444444447,-0.9985714285714286,297.0207420879905,22.0,113.5
2007-01-31,,,,,,,,,,,0.0,,,
2007-02-28,,,,,,,,,,,0.0,,,
2007-03-31,0.00040960533816189487,4973.38,0.0,4973.38,8.229856792687217,4973.38,1.3333333333333333,2.8262865888655058,-0.9825773516150988,-0.4983352600322781,496.338,46.5298233907185,22.0,62.833333333333336
2007-04-30,0.00040960533816189487,3711.710833333333,0.3324336488301965,4943.378333333333,6.761144212567941,2480.0433333333335,1.3333333333333333,2.8262865888655058,-0.9825773516150988,-0.006800586176708923,-0.25368444934162826,46.5298233907185,22.0,24.166666666666668
2007-05-31,0.00040960533816189487,20.350000000000005,0.0,20.350000000000005,7.536537850776575,20.350000000000005,1.0,2.8262865888655058,-0.9825773516150988,0.00399400898652021,-0.9945173530714609,46.5298233907185,22.0,106.5
2007-06-30,0.00040960533816189487,92.716,0.0,92.716,8.037727700873145,92.716,1.0,2.8262865888655058,-0.9825773516150988,0.5486387508895805,3.5560687960687947,46.529823390718505,22.0,91.0
2007-07-31,0.00040960533816189487,189.893075,0.17049031638478365,219.39000000000001,8.827097623884908,187.435,1.25,2.8262865888655058,-0.9825773516150988,0.26313698945763814,1.048115481686009,46.529823390718505,22.0,47.75
2007-08-31,0.00040960533816189487,251.35,0.0,251.35,9.277244838219382,251.35,1.0,2.8262865888655058,-0.9825773516150988,0.0,0.3236396324615838,46.5298233907185,22.0,90.33333333333333
2007-09-30,0.00040960533816189487,262.94196,0.0,262.94196,9.728692931275981,262.94196,1.0,2.8262865888655058,-0.9825773516150988,0.014063478218151815,0.046118798488163915,46.529823390718505,22.0,74.8
2007-10-31,0.0004096053381618948,273.18221111111114,0.0,273.18221111111114,10.088577634236588,273.18221111111114,1.0,2.826286588865506,-0.9825773516150988,0.0028920586737370226,0.03894491054646099,46.5298233907185,22.0,102.55555555555556
